ID,SERVER_NAME,SERVER_LOCATION,SERVER_IP,SERIAL_NUMBER,SERVER_TYPE,IS_HOST
78,TRMARMS5,Lab A - Frame 960,47.168.116.71,GNBWAVN18514704,1,1
79,TRMARMS6,Lab A - Frame 960,47.168.116.165,GNBWAVN18514709,1,1
80,TRMARMS7,Lab A - Frame 960,47.168.116.161,GNBWAVN18514699,1,1
81,TRMARMS8,Lab A - Frame 960,47.168.116.163,GNBWAVN18514689,1,1
82,TRMARMS9,Lab A - Frame 317,47.168.85.117,GNBWAVN18514719,1,1
83,TRMARMS10,Lab A - Frame 258,47.168.116.212,GNBWAVN18514694,1,1
84,TRMARMS11,LabA - Frame 313,47.168.116.178,GNBWAVN19074863,1,1
85,TRMARMS12,LabA - Frame 313,47.168.89.32,GNBWAVN19105083,1,1
86,TRMARMS13,LabA - Frame 313,47.168.89.34,GNBWAVN19115088,1,1
87,TRMARMS14,LabA - Frame 313,47.168.89.83,GNBWAVN19115093,1,1
88,TRMARMS15,LabA - Frame 313,47.168.89.85,GNBWAVN19074853,1,1
89,TRMARMS16,LabA - Frame 313,47.168.89.87,GNBWAVN19074868,1,1
90,TRMARMS17,LabA - Frame 313,47.168.89.89,GNBWAVN19074858,1,1
91,TRMARMS18,LabA - Frame 316,47.168.116.80,GNBWAVN19385977,1,1
92,TRMARMS19,LabA - Frame 316,47.168.116.85,GNBWAVN19385974,1,1
93,TRMARMS20,LabA - Frame 316,10.254.170.5,GNBWAVN19385980,1,1
94,TRMARMS21,LabA - Frame 316,10.254.170.9,GNBWAVN19385979,1,1
95,TRMARMS22,LabA - Frame 316,10.254.170.13,GNBWAVN19385973,1,1
96,TRMARMS23,LabA - Frame 316,10.254.170.15,GNBWAVN19385978,1,1
97,TRMARMS24,LabA - Frame 316,10.254.170.29 ,GNBWAVN19385972,1,1
98,TRMARMS25,LabA - Frame 316,10.254.170.31,GNBWAVN19385975,1,1
99,TRMARMS26,LabA - Frame 317,10.254.170.39,GNBWAVN19385971,1,1
100,TRMARMS27,LabA - Frame 317,10.254.170.41,GNBWAVN19385976,1,1
101,TRMARMS28,Lab A - Frame 318,47.168.72.31,GNBWAVN19135103,1,1
102,TRMARMS29,Lab A - Frame 318,47.168.72.32,GNBWAVN19436084,1,1
103,TRSBRMS29,Lab A - Frame 161,47.168.155.19,GNBWAVN13244329,1,1
104,TRSBRMS30,Lab A - Frame 161,47.168.155.20,GNBWAVN13264705,1,1
105,IBM Westmere Server 2,Lab A - Frame 163,47.168.72.133,-,1,1
106,TRSBRMS13,-,-,GNBWNEI16101160,1,1
107,TRSBRMS22,Lab B - Frame 470,47.168.155.52,GNBWAVN13030901,1,1
108,TRSBRMS28,Lab B - Frame 160,47.168.90.121 (Eski IP'si 47.168.155.18),GNBWAVN13244330,1,1
109,Dell Poweredge Server 4,Lab A - Frame 330,47.168.85.152,-,1,1
110,Dell Poweredge Server 5,Lab A - Frame 330,47.168.85.153,-,1,1
